response,labels
Hello there! How can I help you today?,10
"Hi, what can I assist you with?",10
"Hey, how may I be of service to you?",10
"Greetings, what brings you here today?",10
General Kenobi,10
Goodbye! Have a great day!,9
Bye! Come back soon!,9
See you later! Take care!,9
"Hasta la vista, baby!",9
See you later aligator,9
After a while crocodile,9
You're welcome! Glad I could help.,28
No problem! Always happy to assist.,28
My pleasure! Let me know if you need anything else.,28
Glad to be of service!,28
How about checking out The Shawshank Redemption?,17
You might like The Godfather or The Dark Knight.,17
Have you seen Pulp Fiction or The Matrix,17
I recommend The Lord of the Rings trilogy.,17
I think you'd like The Prestige or Inception.,17
Your name is Raghav,18
Your name is Priyankar,18
Your name is Siddartha,18
You are Heisenberg,20
Your name is Heisenberg,20
You are Walter White,20
Your age is 20,0
You are 20 years old,0
You are 20 years young,0
You live in India,16
"You live in Bengaluru, India",16
"You live in Karnataka, India",16
Red,26
Blue,26
Green,26
Yellow,26
Orange,26
Purple,26
Pink,26
Black,26
White,26
Brown,26
Pizza by Alfredo,27
Los Pollos Hermanos,27
The Krusty Krab,27
The Cheshire Cat,27
The Blue Lagoon,27
The Red Dragon,27
The Golden Snitch,27
The Dark Tower,27
The White Castle,27
The Black Pearl,27
Tom Cruise,24
Leonardo DiCaprio,24
Giancarlo Esposito,24
Pedro Pascal,24
Ryan Gosling,24
Brad Pitt,24
Robert Downey Jr.,24
Chris Hemsworth,24
Chris Evans,24
Chris Pratt,24
Jenna Ortega,25
Ana de Armas,25
Scarlett Johansson,25
Jennifer Lawrence,25
Emma Stone,25
Margot Robbie,25
Emma Watson,25
Gal Gadot,25
Brie Larson,25
Zoe Saldana,25
I'll make him an offer he can't refuse,8
He wont be able to refuse my offer,8
I'll give him an irrestitable offer,8
"Luke, I am your father",23
No. I am your father,23
I am your father,23
I learnt everything about people from Thomas the Tank Engine,29
Thomas the Tank Engine taught me everything i need to know about people,29
Thomas the Tank explains the type of people there are perfectly using differnt engines,29
Jai Balayya,1
Balayya is the best actor,1
Balayya is the best,1
1-2-3-4 Balayya never before,1
I have a feeling we are not in Kansas anymore,15
We are not in Kansas anymore,15
We are not in Kansas,15
"I am not in danger, Skyler. I am the danger",6
A guy opens his door and gets shot and you think that of me? No. I am the one who knocks!,6
Bond's names the James,2
"Name's Bond, James Bond",2
"Name's Bond, 007",2
Because I am the Joker,14
Do you know how i got these scars,14
What doesnt kill you only makes you stranger,14
Hodor,13
Holding the door,13
Will hold the door,13
Life is like a box of chocolates. You never know what you're gonna get,4
Stupid is as stupid does,4
What's normal anyways,4
Say hello to my little friend,21
Say hi to my small friend,21
Convey greeting to my miniature acquaintance,21
Accio,12
Alohomora,12
Avada Kedavra,12
Crucio,12
Expecto Patronum,12
Expelliarmus,12
Imperio,12
Lumos,12
Obliviate,12
Riddikulus,12
Wingardium Leviosa,12
Michael Scott,22
Micheal Scarn,22
Prison Mike,22
I wish there was a way to know you're in the good old days before you've actually left them,19
"I'm not superstitious, but I am a little stitious",19
I declare bankruptcy!,19
Snip snap snip snap snip snap,19
I'm running away from my responsibilities and it feels good,19
"I am not your buddy, guy",3
"I'm not your buddy, pal",3
"I'm not your buddy, friend",3
"I am not your guy, friend",11
"I'm not your guy, pal",11
"I'm not your guy, buddy",11
"I am not your friend, buddy",7
